species_run,species,run,origin,CBP_goals,target,goal_label,source
Spring/Summer Chinook Salmon,Chinook salmon,Spring/summer,Wild/natural,Critical,1850,Critical,Quasi-Extinction Threshold (QET) of 50 times number of populations upstream of Lower Granite Dam.  U.S. vs Oregon Production Advisory Committee Broodstock Needs Table
Spring/Summer Chinook Salmon,Chinook salmon,Spring/summer,Wild/natural,High,235000,Healthy and Harvestable,"Columbia Basin Partnership Phase 2 Report, Appendix A Quantitative Goals for Columbia Basin Salmon and Steelhead Stocks; Green Table, Lower Granite rows, high goal column"
Spring/Summer Chinook Salmon,Chinook salmon,Spring/summer,Wild/natural,Low,43000,ESA Delisting Index,"Columbia Basin Partnership Phase 2 Report, Appendix A Quantitative Goals for Columbia Basin Salmon and Steelhead Stocks; Green Table, Lower Granite rows, low goal column"
Spring/Summer Chinook Salmon,Chinook salmon,Spring/summer,Wild/natural,Medium,137000,CBP Mid-Range Goal,"Columbia Basin Partnership Phase 2 Report, Appendix A Quantitative Goals for Columbia Basin Salmon and Steelhead Stocks; Green Table, Lower Granite rows, low goal column"
Summer Steelhead,Steelhead,Summer,Hatchery,High,130100,Mitigation Index,"Columbia Basin Partnership Phase 2 Report, Appendix A Quantitative Goals for Columbia Basin Salmon and Steelhead Stocks; Green Table, Lower Granite rows, high goal column"
Summer Steelhead,Steelhead,Summer,Hatchery,Low,5285,Broodstock Requirement,Quasi-Extinction Threshold (QET) of 50 times number of populations upstream of Lower Granite Dam.  U.S. vs Oregon Production Advisory Committee Broodstock Needs Table
Summer Steelhead,Steelhead,Summer,Total,High,277400,Broad Sense Recovery,"Columbia Basin Partnership Phase 2 Report, Appendix A Quantitative Goals for Columbia Basin Salmon and Steelhead Stocks; Green Table, Lower Granite rows, high goal column"
Summer Steelhead,Steelhead,Summer,Wild/natural,Critical,1200,Critical,Quasi-Extinction Threshold (QET) of 50 times number of populations upstream of Lower Granite Dam.  U.S. vs Oregon Production Advisory Committee Broodstock Needs Table
Summer Steelhead,Steelhead,Summer,Wild/natural,High,147300,Healthy and Harvestable,"Columbia Basin Partnership Phase 2 Report, Appendix A Quantitative Goals for Columbia Basin Salmon and Steelhead Stocks; Green Table, Lower Granite rows, high goal column"
Summer Steelhead,Steelhead,Summer,Wild/natural,Low,30800,ESA Delisting Index,"Columbia Basin Partnership Phase 2 Report, Appendix A Quantitative Goals for Columbia Basin Salmon and Steelhead Stocks; Green Table, Lower Granite rows, low goal column"
Summer Steelhead,Steelhead,Summer,Wild/natural,Medium,83200,CBP Mid-Range Goal,"Columbia Basin Partnership Phase 2 Report, Appendix A Quantitative Goals for Columbia Basin Salmon and Steelhead Stocks; Green Table, Lower Granite rows, low goal column"
